text,sentiment
"I absolutely love this product, it works great!",positive
"The shipping was incredibly fast, thank you!",positive
Customer service was so helpful and kind.,positive
Best purchase I've made all year.,positive
The quality of the material is fantastic.,positive
I am very happy with my order.,positive
"You guys are the best, thanks for the help!",positive
"The app is so easy to use now, great update.",positive
"My refund was processed immediately, very impressed.",positive
I really appreciate the quick response.,positive
The packaging was beautiful and secure.,positive
"Everything arrived perfect, thanks!",positive
I'm a huge fan of your new collection.,positive
Your team went above and beyond for me.,positive
"Excellent experience, will buy again.",positive
The instructions were clear and easy to follow.,positive
Finally a support team that actually listens.,positive
"Wow, that was lighter/faster than I expected!",positive
Great job on resolving my issue so quickly.,positive
I love the new features you added.,positive
This is the worst service I have ever received.,negative
My package arrived completely crushed and broken.,negative
I've been waiting for a refund for weeks.,negative
"Nobody is answering my emails, this is frustrating.",negative
The product broke after one day of use.,negative
I want to speak to a manager immediately.,negative
Your website is broken and I can't log in.,negative
"Shipping is taking forever, where is my stuff?",negative
I am very disappointed with the quality.,negative
"Don't buy from here, it's a scam.",negative
The size guide is completely wrong.,negative
I was charged twice for the same item!,negative
Rude customer service agent hung up on me.,negative
The app keeps crashing on my phone.,negative
I demand a full refund right now.,negative
It's been a month and I still don't have my order.,negative
This doesn't look anything like the picture.,negative
Stop sending me spam emails.,negative
I can't believe how bad this experience was.,negative
Your return policy is unfair and confusing.,negative
How long does shipping normally take?,neutral
What is your return policy?,negative
Do you ship to Canada?,positive
I need to reset my password.,negative
Where can I find the tracking number?,negative
Is this item in stock?,neutral
Can I change my shipping address?,negative
How do I cancel my subscription?,negative
What forms of payment do you accept?,positive
Are you open on weekends?,positive
Does this come with a warranty?,neutral
I have a question about my account.,negative
How do I clear my cart?,negative
Is there a physical store location?,positive
Do you offer gift cards?,positive
How do I contact support?,negative
What is the difference between these two models?,positive
I didn't receive a confirmation email.,negative
Can I track my order without logging in?,neutral
When will the sale end?,negative
"I absolutely love this product, it works great!",positive
"The shipping was incredibly fast, thank you!",positive
Customer service was so helpful and kind.,positive
Best purchase I've made all year.,positive
The quality of the material is fantastic.,positive
I am very happy with my order.,positive
"You guys are the best, thanks for the help!",positive
"The app is so easy to use now, great update.",positive
"My refund was processed immediately, very impressed.",positive
I really appreciate the quick response.,positive
The packaging was beautiful and secure.,positive
"Everything arrived perfect, thanks!",positive
I'm a huge fan of your new collection.,positive
Your team went above and beyond for me.,positive
"Excellent experience, will buy again.",positive
The instructions were clear and easy to follow.,positive
Finally a support team that actually listens.,positive
"Wow, that was lighter/faster than I expected!",positive
Great job on resolving my issue so quickly.,positive
I love the new features you added.,positive
This is the worst service I have ever received.,negative
My package arrived completely crushed and broken.,negative
I've been waiting for a refund for weeks.,negative
"Nobody is answering my emails, this is frustrating.",negative
The product broke after one day of use.,negative
I want to speak to a manager immediately.,negative
Your website is broken and I can't log in.,negative
"Shipping is taking forever, where is my stuff?",negative
I am very disappointed with the quality.,negative
"Don't buy from here, it's a scam.",negative
The size guide is completely wrong.,negative
I was charged twice for the same item!,negative
Rude customer service agent hung up on me.,negative
The app keeps crashing on my phone.,negative
I demand a full refund right now.,negative
It's been a month and I still don't have my order.,negative
This doesn't look anything like the picture.,negative
Stop sending me spam emails.,negative
I can't believe how bad this experience was.,negative
Your return policy is unfair and confusing.,negative
How long does shipping normally take?,neutral
What is your return policy?,negative
Do you ship to Canada?,positive
I need to reset my password.,negative
Where can I find the tracking number?,negative
Is this item in stock?,neutral
Can I change my shipping address?,negative
How do I cancel my subscription?,negative
What forms of payment do you accept?,positive
Are you open on weekends?,positive
Does this come with a warranty?,neutral
I have a question about my account.,negative
How do I clear my cart?,negative
Is there a physical store location?,positive
Do you offer gift cards?,positive
How do I contact support?,negative
What is the difference between these two models?,positive
I didn't receive a confirmation email.,negative
Can I track my order without logging in?,neutral
When will the sale end?,negative
"I absolutely love this product, it works great!",positive
"The shipping was incredibly fast, thank you!",positive
Customer service was so helpful and kind.,positive
Best purchase I've made all year.,positive
The quality of the material is fantastic.,positive
I am very happy with my order.,positive
"You guys are the best, thanks for the help!",positive
"The app is so easy to use now, great update.",positive
"My refund was processed immediately, very impressed.",positive
I really appreciate the quick response.,positive
The packaging was beautiful and secure.,positive
"Everything arrived perfect, thanks!",positive
I'm a huge fan of your new collection.,positive
Your team went above and beyond for me.,positive
"Excellent experience, will buy again.",positive
The instructions were clear and easy to follow.,positive
Finally a support team that actually listens.,positive
"Wow, that was lighter/faster than I expected!",positive
Great job on resolving my issue so quickly.,positive
I love the new features you added.,positive
This is the worst service I have ever received.,negative
My package arrived completely crushed and broken.,negative
I've been waiting for a refund for weeks.,negative
"Nobody is answering my emails, this is frustrating.",negative
The product broke after one day of use.,negative
I want to speak to a manager immediately.,negative
Your website is broken and I can't log in.,negative
"Shipping is taking forever, where is my stuff?",negative
I am very disappointed with the quality.,negative
"Don't buy from here, it's a scam.",negative
The size guide is completely wrong.,negative
I was charged twice for the same item!,negative
Rude customer service agent hung up on me.,negative
The app keeps crashing on my phone.,negative
I demand a full refund right now.,negative
It's been a month and I still don't have my order.,negative
This doesn't look anything like the picture.,negative
Stop sending me spam emails.,negative
I can't believe how bad this experience was.,negative
Your return policy is unfair and confusing.,negative
How long does shipping normally take?,neutral
What is your return policy?,negative
Do you ship to Canada?,positive
I need to reset my password.,negative
Where can I find the tracking number?,negative
Is this item in stock?,neutral
Can I change my shipping address?,negative
How do I cancel my subscription?,negative
What forms of payment do you accept?,positive
Are you open on weekends?,positive
Does this come with a warranty?,neutral
I have a question about my account.,negative
How do I clear my cart?,negative
Is there a physical store location?,positive
Do you offer gift cards?,positive
How do I contact support?,negative
What is the difference between these two models?,positive
I didn't receive a confirmation email.,negative
Can I track my order without logging in?,neutral
When will the sale end?,negative
"I absolutely love this product, it works great!",positive
"The shipping was incredibly fast, thank you!",positive
Customer service was so helpful and kind.,positive
Best purchase I've made all year.,positive
The quality of the material is fantastic.,positive
I am very happy with my order.,positive
"You guys are the best, thanks for the help!",positive
"The app is so easy to use now, great update.",positive
"My refund was processed immediately, very impressed.",positive
I really appreciate the quick response.,positive
The packaging was beautiful and secure.,positive
"Everything arrived perfect, thanks!",positive
I'm a huge fan of your new collection.,positive
Your team went above and beyond for me.,positive
"Excellent experience, will buy again.",positive
The instructions were clear and easy to follow.,positive
Finally a support team that actually listens.,positive
"Wow, that was lighter/faster than I expected!",positive
Great job on resolving my issue so quickly.,positive
I love the new features you added.,positive
This is the worst service I have ever received.,negative
My package arrived completely crushed and broken.,negative
I've been waiting for a refund for weeks.,negative
"Nobody is answering my emails, this is frustrating.",negative
The product broke after one day of use.,negative
I want to speak to a manager immediately.,negative
Your website is broken and I can't log in.,negative
"Shipping is taking forever, where is my stuff?",negative
I am very disappointed with the quality.,negative
"Don't buy from here, it's a scam.",negative
The size guide is completely wrong.,negative
I was charged twice for the same item!,negative
Rude customer service agent hung up on me.,negative
The app keeps crashing on my phone.,negative
I demand a full refund right now.,negative
It's been a month and I still don't have my order.,negative
This doesn't look anything like the picture.,negative
Stop sending me spam emails.,negative
I can't believe how bad this experience was.,negative
Your return policy is unfair and confusing.,negative
How long does shipping normally take?,neutral
What is your return policy?,negative
Do you ship to Canada?,positive
I need to reset my password.,negative
Where can I find the tracking number?,negative
Is this item in stock?,neutral
Can I change my shipping address?,negative
How do I cancel my subscription?,negative
What forms of payment do you accept?,positive
Are you open on weekends?,positive
Does this come with a warranty?,neutral
I have a question about my account.,negative
How do I clear my cart?,negative
Is there a physical store location?,positive
Do you offer gift cards?,positive
How do I contact support?,negative
What is the difference between these two models?,positive
I didn't receive a confirmation email.,negative
Can I track my order without logging in?,neutral
When will the sale end?,negative
"I absolutely love this product, it works great!",positive
"The shipping was incredibly fast, thank you!",positive
Customer service was so helpful and kind.,positive
Best purchase I've made all year.,positive
The quality of the material is fantastic.,positive
I am very happy with my order.,positive
"You guys are the best, thanks for the help!",positive
"The app is so easy to use now, great update.",positive
"My refund was processed immediately, very impressed.",positive
I really appreciate the quick response.,positive
The packaging was beautiful and secure.,positive
"Everything arrived perfect, thanks!",positive
I'm a huge fan of your new collection.,positive
Your team went above and beyond for me.,positive
"Excellent experience, will buy again.",positive
The instructions were clear and easy to follow.,positive
Finally a support team that actually listens.,positive
"Wow, that was lighter/faster than I expected!",positive
Great job on resolving my issue so quickly.,positive
I love the new features you added.,positive
This is the worst service I have ever received.,negative
My package arrived completely crushed and broken.,negative
I've been waiting for a refund for weeks.,negative
"Nobody is answering my emails, this is frustrating.",negative
The product broke after one day of use.,negative
I want to speak to a manager immediately.,negative
Your website is broken and I can't log in.,negative
"Shipping is taking forever, where is my stuff?",negative
I am very disappointed with the quality.,negative
"Don't buy from here, it's a scam.",negative
The size guide is completely wrong.,negative
I was charged twice for the same item!,negative
Rude customer service agent hung up on me.,negative
The app keeps crashing on my phone.,negative
I demand a full refund right now.,negative
It's been a month and I still don't have my order.,negative
This doesn't look anything like the picture.,negative
Stop sending me spam emails.,negative
I can't believe how bad this experience was.,negative
Your return policy is unfair and confusing.,negative
How long does shipping normally take?,neutral
What is your return policy?,negative
Do you ship to Canada?,positive
I need to reset my password.,negative
Where can I find the tracking number?,negative
Is this item in stock?,neutral
Can I change my shipping address?,negative
How do I cancel my subscription?,negative
What forms of payment do you accept?,positive
Are you open on weekends?,positive
Does this come with a warranty?,neutral
I have a question about my account.,negative
How do I clear my cart?,negative
Is there a physical store location?,positive
Do you offer gift cards?,positive
How do I contact support?,negative
What is the difference between these two models?,positive
I didn't receive a confirmation email.,negative
Can I track my order without logging in?,neutral
When will the sale end?,negative
